Name,Radius (km),Planet
S/2018 J4,2,Jupiter
S/2019 S 1,5,Saturn
S/2019 S 10,3,Saturn
S/2019 S 11,4,Saturn
S/2019 S 12,4,Saturn
S/2019 S 13,3,Saturn
S/2019 S 14,4,Saturn
S/2019 S 15,3,Saturn
S/2019 S 16,3,Saturn
S/2019 S 17,4,Saturn
S/2019 S 18,3,Saturn
S/2019 S 19,3,Saturn
S/2019 S 2,3,Saturn
S/2019 S 20,3,Saturn
S/2019 S 21,4,Saturn
S/2019 S 3,4,Saturn
S/2019 S 4,3,Saturn
S/2019 S 5,3,Saturn
S/2019 S 6,4,Saturn
S/2019 S 7,4,Saturn
S/2019 S 8,4,Saturn
S/2019 S 9,4,Saturn
S/2020 S 1,4,Saturn
S/2020 S 10,3,Saturn
S/2020 S 2,3,Saturn
S/2020 S 3,4,Saturn
S/2020 S 4,3,Saturn
S/2020 S 5,3,Saturn
S/2020 S 6,3,Saturn
S/2020 S 7,3,Saturn
S/2020 S 8,4,Saturn
S/2020 S 9,4,Saturn
S/2021 J1,1,Jupiter
S/2021 J2,1,Jupiter
S/2021 J3,2,Jupiter
S/2021 J4,1,Jupiter
S/2021 J5,2,Jupiter
S/2021 J6,1,Jupiter
Sao,40,Neptune
Setebos,50,Uranus
Siarnaq,30,Saturn
Sinope,28,Jupiter
Skathi,6,Saturn
Skoll,6,Saturn
Sponde,2,Jupiter
Stephano,30,Uranus
Surtur,6,Saturn
Suttungr,6,Saturn
Sycorax,150,Uranus
Tarqeq,6,Saturn
Tarvos,15,Saturn
Taygete,5,Jupiter
Telesto,24.8,Saturn
Tethys,1062,Saturn
Thalassa,80,Neptune
Thebe,98.6,Jupiter
Thelxinoe,4,Jupiter
Themisto,8,Jupiter
Thrymr,6,Saturn
Thyone,4,Jupiter
Titan,5150,Saturn
Titania,1578,Uranus
Trinculo,18,Uranus
Triton,2705.2,Neptune
Umbriel,1169,Uranus
Valetudo,2,Jupiter
Ymir,18,Saturn
