Date,Name,X,Y,Z
1800-01-01,Sun,0.0,0.0,0.0
1800-01-01,Mercury,-31046316.72722382,31213265.26127913,20023109.20773883
1800-01-01,Venus,-91431536.16853562,47589781.14326669,27213881.3435878
1800-01-01,Earth,-33140058.08513544,130549357.31086016,56658594.68875301
1800-01-01,Mars,-163476092.17080787,-153315942.86221692,-65787613.31312736
1800-01-01,Jupiter,-3891124.5505597442,704802609.4122596,302331434.97510177
1800-01-01,Saturn,-850107128.9014591,969232742.9007052,436218124.9978067
1800-01-01,Uranus,-2732804166.2329006,119544074.27855048,91278359.01277685
1800-01-01,Neptune,-3037850669.3136616,-3143585350.744507,-1211134444.6861424
1800-01-01,Pluto,5435054940.653482,-1774229855.7580276,-2190608047.627296
1800-02-01,Sun,0.0,0.0,0.0
1800-02-01,Mercury,-28356271.315354683,-57689335.67235277,-27713459.03764077
1800-02-01,Venus,-101237441.75406344,-35440890.16993563,-9461923.023807535
1800-02-01,Earth,-103304050.1885705,95237869.11263524,41325774.59987953
1800-02-01,Mars,-109111468.67479393,-183005073.78507432,-80898069.08139336
1800-02-01,Jupiter,-39264511.61253488,705064244.0801529,303308447.7487495
1800-02-01,Saturn,-871577045.417339,953714460.9042131,430734578.0545476
1800-02-01,Uranus,-2733863660.342638,102077970.79579973,83642533.0387988
1800-02-01,Neptune,-3027118457.704476,-3152422605.570412,-1215018591.0971942
1800-02-01,Pluto,5442092975.405334,-1764259684.0948367,-2189617928.1311274
1800-03-01,Sun,0.0,0.0,0.0
1800-03-01,Mercury,51725533.82121124,-23886305.333926942,-18017722.510879993
1800-03-01,Venus,-46914646.5567914,-90836308.35709631,-37792207.084969126
1800-03-01,Earth,-141273988.56368583,38961052.97018827,16893807.21177626
1800-03-01,Mars,-52354530.41820182,-197274533.1381722,-89003181.76913966
1800-03-01,Jupiter,-71145523.56918456,704032532.6810087,303645456.3818987
1800-03-01,Saturn,-890686588.5664425,939388954.8628954,425642143.094206
1800-03-01,Uranus,-2734711419.355349,86298051.47762293,76742313.95105334
1800-03-01,Neptune,-3017398274.9422407,-3160376977.2397914,-1218516189.8729613
1800-03-01,Pluto,5448430508.910911,-1755248076.848214,-2188715820.0087204
1800-04-01,Sun,0.0,0.0,0.0
1800-04-01,Mercury,-38631467.06779936,25864012.402625434,17964942.544658437
1800-04-01,Venus,43415407.403249115,-91091308.12460187,-43636626.37654042
1800-04-01,Earth,-144649610.58891803,-33577395.029005185,-14596085.174044624
1800-04-01,Mars,14613513.111387739,-196826977.18144006,-90640293.6112198
1800-04-01,Jupiter,-106298704.73532394,701497310.7798958,303417717.7436457
1800-04-01,Saturn,-911523888.8475271,923192618.6938903,419851829.760782
1800-04-01,Uranus,-2735529080.0328584,68823654.52478953,69099411.3212934
1800-04-01,Neptune,-3006607326.009951,-3169152891.2135053,-1222376690.0727699
1800-04-01,Pluto,5455425587.891685,-1745264023.3094547,-2187708430.4922466
1800-05-01,Sun,0.0,0.0,0.0
1800-05-01,Mercury,-25128816.638751306,-58870647.08960677,-28674856.63541279
1800-05-01,Venus,103178151.49588282,-31308694.174530935,-20571551.88631444
