Name,Diameter (km),Planet
S/2019 S 13,6,Saturn
S/2019 S 14,8,Saturn
S/2019 S 15,6,Saturn
S/2019 S 16,6,Saturn
S/2019 S 17,8,Saturn
S/2019 S 18,6,Saturn
S/2019 S 19,6,Saturn
S/2019 S 2,6,Saturn
S/2019 S 20,6,Saturn
S/2019 S 21,8,Saturn
S/2019 S 3,8,Saturn
S/2019 S 4,6,Saturn
S/2019 S 5,6,Saturn
S/2019 S 6,8,Saturn
S/2019 S 7,8,Saturn
S/2019 S 8,8,Saturn
S/2019 S 9,8,Saturn
S/2020 S 1,8,Saturn
S/2020 S 10,6,Saturn
S/2020 S 2,6,Saturn
S/2020 S 3,8,Saturn
S/2020 S 4,6,Saturn
S/2020 S 5,6,Saturn
S/2020 S 6,6,Saturn
S/2020 S 7,6,Saturn
S/2020 S 8,8,Saturn
S/2020 S 9,8,Saturn
S/2021 J1,2,Jupiter
S/2021 J2,2,Jupiter
S/2021 J3,4,Jupiter
S/2021 J4,2,Jupiter
S/2021 J5,4,Jupiter
S/2021 J6,2,Jupiter
Sao,80,Neptune
Setebos,100,Uranus
Siarnaq,60,Saturn
Sinope,56,Jupiter
Skathi,12,Saturn
Skoll,12,Saturn
Sponde,4,Jupiter
Stephano,60,Uranus
Surtur,12,Saturn
Suttungr,12,Saturn
Sycorax,300,Uranus
Tarqeq,12,Saturn
Tarvos,30,Saturn
Taygete,10,Jupiter
Telesto,49.6,Saturn
Tethys,2124,Saturn
Thalassa,160,Neptune
Thebe,197.2,Jupiter
Thelxinoe,8,Jupiter
Themisto,16,Jupiter
Thrymr,12,Saturn
Thyone,8,Jupiter
Titan,10300,Saturn
Titania,3156,Uranus
Trinculo,36,Uranus
Triton,5410.4,Neptune
Umbriel,2338,Uranus
Valetudo,4,Jupiter
Ymir,36,Saturn
